Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.9931E-17,-4.9931E-17,4.9735E-18,0,0,0,277.94,21.196,-6.7841,-0.0021537,33.463,-0.0014165,37.559,0,0,0,0,0,0,package://B/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://B/meshes/base_link.STL,,Body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
WL,0.054679,2.6676E-06,2.498E-16,0,0,0,4.5297,0.12385,2.3594E-08,5.5815E-10,0.062775,5.8663E-07,0.062775,0,0,0,0,0,0,package://B/meshes/WL.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://B/meshes/WL.STL,,PU_foam_wheel-1,Origin_WL,Axis_WL,WL,revolute,0.44371,0.34494,-0.28028,-3.0034,0,1.5708,base_link,1,0,0,0,0,0,0,,,,,,,,
WR,0.054679,-1.7346E-06,-2.0266E-06,0,0,0,4.5297,0.12385,-2.0883E-08,-2.4398E-08,0.062775,-9.1968E-08,0.062776,0,0,0,0,0,0,package://B/meshes/WR.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://B/meshes/WR.STL,,PU_foam_wheel-2,Origin_WR,Axis_WR,WR,revolute,0.44371,-0.34506,-0.28028,-2.0022,0,-1.5708,base_link,1,0,0,0,0,0,0,,,,,,,,
CL,0,0,0.034834,0,0,0,0.23719,0.00016597,3.3881E-21,-7.473E-21,0.00016597,-5.179E-21,0.00029454,0,0,0,0,0,0,package://B/meshes/CL.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://B/meshes/CL.STL,,Caster-1,Origin_CL,Axis_CL,CL,revolute,-0.68679,0.25494,-0.42528,-1.5708,-0.39309,0,base_link,0,0,1,0,0,0,0,,,,,,,,
CR,0,0,0.034834,0,0,0,0.23719,0.00016597,-6.7763E-21,-1.0152E-20,0.00016597,4.392E-21,0.00029454,0,0,0,0,0,0,package://B/meshes/CR.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://B/meshes/CR.STL,,Caster-2,Origin_CR,Axis_CR,CR,revolute,-0.68679,-0.25506,-0.42528,-1.5708,-1.2021,3.1416,base_link,0,0,1,0,0,0,0,,,,,,,,
