Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.88599003737548E-06,2.78429784610709E-05,6.9119398319632E-06,0,0,0,0.325132741228718,0.000351943944995061,-5.03904488416714E-21,-2.15066959263787E-20,0.000955337745983216,-1.79693397686128E-36,0.000624650438049591,0,0,0,0,0,0,package://four_wheels/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://four_wheels/meshes/base_link.STL,,body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_1,0,0,-0.01,0,0,0,0.0502654824574367,1.42418866962737E-05,4.61406182113248E-38,-7.72318827591196E-38,1.42418866962737E-05,-5.73971850987445E-38,2.51327412287184E-05,0,0,0,0,0,0,package://four_wheels/meshes/wheel_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://four_wheels/meshes/wheel_1.STL,,wheel-1,Origin_wheel_1,Axis_wheel_1,wheel_1,continuous,0.044997,0.049993,2.7843E-05,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
wheel_2,6.93889390390723E-18,0,-0.01,0,0,0,0.0502654824574367,1.42418866962737E-05,4.61406182113248E-38,-7.72318827591196E-38,1.42418866962737E-05,-5.73971850987445E-38,2.51327412287184E-05,0,0,0,0,0,0,package://four_wheels/meshes/wheel_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://four_wheels/meshes/wheel_2.STL,,wheel-2,Origin_wheel_2,Axis_wheel_2,wheel_2,continuous,-0.045003,0.049993,2.7843E-05,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
wheel_3,0,-3.46944695195361E-18,-0.01,0,0,0,0.0502654824574367,1.42418866962737E-05,-8.470329472543E-22,-3.68961066208544E-22,1.42418866962737E-05,1.52657646046783E-22,2.51327412287184E-05,0,0,0,0,0,0,package://four_wheels/meshes/wheel_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://four_wheels/meshes/wheel_3.STL,,wheel-3,Origin_wheel_3,Axis_wheel_3,wheel_3,continuous,-0.045003,-0.050007,2.7843E-05,1.5708,0.39309,-3.1416,base_link,0,0,1,,,,,,,,,,,,
wheel_4,0,0,-0.01,0,0,0,0.0502654824574367,1.42418866962737E-05,-8.470329472543E-22,-4.86320594062441E-38,1.42418866962737E-05,3.28870250746385E-38,2.51327412287184E-05,0,0,0,0,0,0,package://four_wheels/meshes/wheel_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://four_wheels/meshes/wheel_4.STL,,wheel-4,Origin_wheel_4,Axis_wheel_4,wheel_4,continuous,0.044997,-0.050007,2.7843E-05,1.5708,0.39309,-3.1416,base_link,0,0,1,,,,,,,,,,,,
