Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0347114051526544,0.0820892496165727,0.123777607901242,0,0,0,0.325132741228718,0.000351943944995061,5.1299138728878E-22,-8.27180612553028E-21,0.000955337745983216,-2.11758236813573E-21,0.000624650438049591,0,0,0,0,0,0,package://igv_final/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://igv_final/meshes/base_link.STL,,body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel1,0,1.38777878078145E-17,0.00999999999999998,0,0,0,0.0502654824574367,1.42418866962737E-05,-6.72929976440541E-39,2.82344315751433E-22,1.42418866962737E-05,-3.64261656012912E-38,2.51327412287183E-05,0,0,0,0,0,0,package://igv_final/meshes/wheel1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://igv_final/meshes/wheel1.STL,,wheel-1,Origin_wheel1,Axis_wheel1,wheel1,continuous,0.079711,-0.17378,0.082089,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
wheel4,-1.38777878078145E-17,0,0.01,0,0,0,0.0502654824574367,1.42418866962737E-05,-6.72929976440553E-39,-3.52930394689292E-23,1.42418866962737E-05,-3.64261656012912E-38,2.51327412287184E-05,0,0,0,0,0,0,package://igv_final/meshes/wheel4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://igv_final/meshes/wheel4.STL,,wheel-4,Origin_wheel4,Axis_wheel4,wheel4,continuous,0.079711,-0.053778,0.082089,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
wheel2,1.73472347597681E-18,1.38777878078145E-17,0.00999999999999998,0,0,0,0.0502654824574367,1.42418866962737E-05,-6.72929976440541E-39,2.82344315751433E-22,1.42418866962737E-05,-3.64261656012912E-38,2.51327412287183E-05,0,0,0,0,0,0,package://igv_final/meshes/wheel2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://igv_final/meshes/wheel2.STL,,wheel-2,Origin_wheel2,Axis_wheel2,wheel2,continuous,-0.010289,-0.17378,0.082089,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
wheel3,-1.73472347597681E-18,0,0.01,0,0,0,0.0502654824574367,1.42418866962737E-05,-6.72929976440553E-39,-3.52930394689292E-23,1.42418866962737E-05,-3.64261656012912E-38,2.51327412287184E-05,0,0,0,0,0,0,package://igv_final/meshes/wheel3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://igv_final/meshes/wheel3.STL,,wheel-3,Origin_wheel3,Axis_wheel3,wheel3,continuous,-0.010289,-0.053778,0.082089,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
