Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0347114051526544,-0.123777607901242,0.0820892496165727,0,0,0,0.325132741228718,0.000351943944995061,1.48892510259545E-20,-1.04636803417482E-22,0.000624650438049591,2.23656712893325E-20,0.000955337745983216,0,0,0,0,0,0,package://igv_final_1/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://igv_final_1/meshes/base_link.STL,,body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel1,0.0797114051526544,-0.183777607901242,0.0820892496165727,0,0,0,0.0502654824574367,1.42418866962737E-05,-2.82344315751433E-22,1.05587323873364E-38,2.51327412287183E-05,-6.66850482949345E-22,1.42418866962737E-05,0,0,0,0,0,0,package://igv_final_1/meshes/wheel1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://igv_final_1/meshes/wheel1.STL,,wheel-1,Origin_global,Axis_wheel1,wheel1,revolute,0,0,0,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
wheel4,0.0797114051526544,-0.0637776079012417,0.0820892496165727,0,0,0,0.0502654824574367,1.42418866962737E-05,3.52930394689292E-23,-8.89030378337326E-39,2.51327412287184E-05,-6.66850482949346E-22,1.42418866962737E-05,0,0,0,0,0,0,package://igv_final_1/meshes/wheel4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://igv_final_1/meshes/wheel4.STL,,wheel-4,Origin_global,Axis_wheel4,wheel4,revolute,0,0,0,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
wheel2,-0.0102885948473456,-0.183777607901242,0.0820892496165727,0,0,0,0.0502654824574367,1.42418866962737E-05,-2.82344315751433E-22,1.05587323873364E-38,2.51327412287183E-05,-6.66850482949345E-22,1.42418866962737E-05,0,0,0,0,0,0,package://igv_final_1/meshes/wheel2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://igv_final_1/meshes/wheel2.STL,,wheel-2,Origin_global,Axis_wheel2,wheel2,revolute,0,0,0,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
wheel3,-0.0102885948473456,-0.0637776079012417,0.0820892496165727,0,0,0,0.0502654824574367,1.42418866962737E-05,3.52930394689293E-23,-8.89030378337326E-39,2.51327412287184E-05,-6.66850482949346E-22,1.42418866962737E-05,0,0,0,0,0,0,package://igv_final_1/meshes/wheel3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://igv_final_1/meshes/wheel3.STL,,wheel-3,Origin_global,Axis_wheel3,wheel3,revolute,0,0,0,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
