Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.74599256696404E-17,-0.01,2.60519117223708E-18,0,0,0,0.325132741228718,0.000351943944995061,-4.42031378597748E-21,-2.52124650706163E-20,0.000955337745983216,-2.28612513537026E-36,0.000624650438049591,0,0,0,0,0,0,package://igv_final_2/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://igv_final_2/meshes/base_link.STL,,body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel4,6.93889390390723E-18,0,-0.01,0,0,0,0.0502654824574367,1.42418866962737E-05,-8.470329472543E-22,-2.60809356127663E-22,1.42418866962737E-05,-1.0815171008088E-22,2.51327412287184E-05,0,0,0,0,0,0,package://igv_final_2/meshes/wheel4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://igv_final_2/meshes/wheel4.STL,,wheel-4,Origin_wheel4,Axis_wheel4,wheel4,revolute,0.045,-0.05,-0.01,1.5708,0.39309,-3.1416,base_link,0,0,1,0,0,0,0,,,,,,,,
wheel1,0,1.73472347597681E-18,-0.01,0,0,0,0.0502654824574367,1.42418866962737E-05,-6.72929976440549E-39,-8.11709805894804E-38,1.42418866962737E-05,-3.64261656012912E-38,2.51327412287184E-05,0,0,0,0,0,0,package://igv_final_2/meshes/wheel1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://igv_final_2/meshes/wheel1.STL,,wheel-1,Origin_wheel1,Axis_wheel1,wheel1,revolute,0.045,0.05,-0.01,1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
wheel2,6.93889390390723E-18,1.73472347597681E-18,-0.01,0,0,0,0.0502654824574367,1.42418866962737E-05,-6.72929976440549E-39,-8.11709805894804E-38,1.42418866962737E-05,-3.64261656012912E-38,2.51327412287184E-05,0,0,0,0,0,0,package://igv_final_2/meshes/wheel2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://igv_final_2/meshes/wheel2.STL,,wheel-2,Origin_wheel2,Axis_wheel2,wheel2,revolute,-0.045,0.05,-0.01,1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
wheel3,-6.93889390390723E-18,0,-0.01,0,0,0,0.0502654824574367,1.42418866962737E-05,0,3.68961066208544E-22,1.42418866962737E-05,-1.52657646046783E-22,2.51327412287184E-05,0,0,0,0,0,0,package://igv_final_2/meshes/wheel3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://igv_final_2/meshes/wheel3.STL,,wheel-3,Origin_wheel3,Axis_wheel3,wheel3,revolute,-0.045,-0.05,-0.01,1.5708,0.39309,-3.1416,base_link,0,0,1,0,0,0,0,,,,,,,,
